"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"ALL INDIA TOTAL",82442,22,1230,15371,12,28,14,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",28,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",14,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 06-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,3,1,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,174,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,60,3,"*","**","No import"
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,90,11,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,85,5,"*","Coal Supply Affected",
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,206,30,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,203,16,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,500,25,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,138,27,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,23,1,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,159,8,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,234,37,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,336,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,92,33,,,
"15","RAIL","OBRA TPS",1372,20,13.9,232,17,,,
"16","RAIL","PANKI TPS",210,30,3.5,81,24,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,296,32,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,95,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,706,22,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,637,20,,,
"21","RAIL","TANDA TPS",440,25,7.8,242,31,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,477,27,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,58,7,,,
"TOTAL OF N.R.",22342,24,331.9,5124,15,5,3,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,121,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,91,11,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,461,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,562,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,610,35,,,
"29","RAIL","PATHADI TPP",600,15,8.7,521,60,,,
"30","RAIL","BHILAI TPS",500,25,7.8,139,18,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,69,5,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,65,5,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,20,5,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,110,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,88,14,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,170,33,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,27,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,125,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,728,13,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,244,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,443,11,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,30,2,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,249,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,219,16,,,
"45","RAIL","PARLI TPS",1170,25,16.7,96,6,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,138,18,,,
"47","RAIL","DAHANU TPS",500,25,9.2,22,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,38,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,5388,14,9,3,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,121,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,381,20,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,5,5,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,146,9,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,512,13,,,
"54","RAIL","SIMHADRI",1500,25,23.1,123,5,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,465,18,,,
"57","RAIL","BELLARY TPS",500,20,8.7,72,8,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,13,2,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,115,8,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,79,8,,,
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,59,3,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,2200,10,5,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,17,14,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,4,2,"*","**","Less Receipt"
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,2,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,85,29,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,37,8,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,365,41,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,8,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,112,14,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,235,27,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,395,8,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,61,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,289,61,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,158,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,36,7,,,
"77","RAIL","D.P.L. TPS",690,25,7.8,191,24,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,42,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,35,5,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,45,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,302,32,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,17,13,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,45,20,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,48,13,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,96,3,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2625,9,8,6,,,
"ALL INDIA TOTAL",82442,22,1230,15338,12,27,14,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",27,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",14,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 07-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,3,1,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,177,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,60,3,"*","**","No import"
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,89,11,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,96,6,"*","Coal Supply Affected",
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,207,30,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,200,15,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,496,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,135,26,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,29,2,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,159,8,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,234,37,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,337,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,92,33,,,
"15","RAIL","OBRA TPS",1372,20,13.9,233,17,,,
"16","RAIL","PANKI TPS",210,30,3.5,78,23,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,298,32,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,96,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,704,22,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,635,19,,,
"21","RAIL","TANDA TPS",440,25,7.8,239,31,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,487,28,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,48,6,"*","No import",
"TOTAL OF N.R.",22342,24,331.9,5131,15,6,3,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,119,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,90,10,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,464,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,558,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,610,35,,,
"29","RAIL","PATHADI TPP",600,15,8.7,521,60,,,
"30","RAIL","BHILAI TPS",500,25,7.8,130,17,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,68,5,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,67,6,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,21,6,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,113,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,82,13,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,170,33,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,27,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,127,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,725,13,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,244,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,443,11,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,28,2,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,249,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,219,16,,,
"45","RAIL","PARLI TPS",1170,25,16.7,96,6,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,138,18,,,
"47","RAIL","DAHANU TPS",500,25,9.2,21,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,43,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,5375,14,9,3,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,108,4,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,380,20,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,5,5,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,145,9,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,512,13,,,
"54","RAIL","SIMHADRI",1500,25,23.1,131,6,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,111,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,463,18,,,
"57","RAIL","BELLARY TPS",500,20,8.7,72,8,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,11,2,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,122,9,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,82,8,,,
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,61,3,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,2201,10,5,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,19,17,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,2,1,"*","**","Less Receipt"
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,4,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,85,29,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,57,12,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,361,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,7,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,110,14,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,235,27,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,385,7,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,67,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,293,61,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,159,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,38,8,,,
"77","RAIL","D.P.L. TPS",690,25,7.8,193,25,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,42,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,33,4,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,42,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,308,32,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,16,12,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,43,19,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,52,14,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,101,3,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2652,9,8,6,,,
"ALL INDIA TOTAL",82442,22,1230,15359,12,28,14,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",28,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",14,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 10-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,1,1,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,172,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,83,4,"*","No import",
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,81,10,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,131,8,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,211,30,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,182,14,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,488,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,126,24,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,55,3,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,161,8,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,230,36,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,341,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,245,18,,,
"16","RAIL","PANKI TPS",210,30,3.5,87,25,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,300,33,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,111,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,671,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,646,20,,,
"21","RAIL","TANDA TPS",440,25,7.8,243,31,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,480,27,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,47,5,"*","No import",
"TOTAL OF N.R.",22342,24,331.9,5188,16,5,2,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,126,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,97,11,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,460,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,559,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,625,36,,,
"29","RAIL","PATHADI TPP",600,15,8.7,267,31,,,
"30","RAIL","BHILAI TPS",500,25,7.8,108,14,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,52,4,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,59,5,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,14,4,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,105,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,78,12,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,177,34,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,27,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,124,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,710,13,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,245,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,430,11,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,25,2,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,245,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,206,15,,,
"45","RAIL","PARLI TPS",1170,25,16.7,107,6,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,125,17,,,
"47","RAIL","DAHANU TPS",500,25,9.2,20,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,38,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,5028,13,9,3,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,93,4,"*","Coal Supply Affected",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,364,19,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,5,5,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,116,7,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,528,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,140,6,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,468,19,,,
"57","RAIL","BELLARY TPS",500,20,8.7,59,7,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,6,1,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,111,8,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,69,7,,,
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,64,3,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,2132,10,5,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,20,17,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,6,3,"*","**","Less Receipt"
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,0,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,80,28,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,64,14,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,359,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,12,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,120,15,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,240,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,360,7,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,67,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,299,63,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,172,10,,,
"76","RAIL","BANDEL TPS",450,20,4.9,30,6,"*","Less Receipt",
"77","RAIL","D.P.L. TPS",690,25,7.8,194,25,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,37,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,32,4,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,44,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,282,30,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,17,13,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,48,21,,,
