01-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
12-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
12-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
12-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
12-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
12-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
12-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
12-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
12-03-2011,B. NHPC,,,,,,,,,
12-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
12-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
12-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
12-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
12-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
12-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
12-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
12-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
12-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
12-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
12-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
12-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
12-03-2011,E. BBMB,,,,,,,,,
12-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
12-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
12-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
12-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
12-03-2011,F. NPC,,,,,,,,,
12-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
12-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
12-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
12-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
12-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
12-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
12-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
13-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
13-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
13-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
13-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
13-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
13-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
13-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
13-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
13-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
13-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
13-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
13-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
13-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
13-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
13-03-2011,B. NHPC,,,,,,,,,
13-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
13-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
13-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
13-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
13-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
13-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
13-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
13-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
13-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
13-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
13-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
13-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
13-03-2011,E. BBMB,,,,,,,,,
13-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
13-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
13-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
13-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
13-03-2011,F. NPC,,,,,,,,,
13-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
13-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
13-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
13-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
13-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
13-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
13-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
14-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
14-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
14-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
14-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
14-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
14-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
14-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
14-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
14-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
14-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
14-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
14-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
14-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
14-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
14-03-2011,B. NHPC,,,,,,,,,
14-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
14-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
14-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
14-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
14-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
14-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
14-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
14-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
14-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
14-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
14-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
14-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
14-03-2011,E. BBMB,,,,,,,,,
14-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
14-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
14-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
14-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
14-03-2011,F. NPC,,,,,,,,,
14-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
14-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
14-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
14-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
14-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
14-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
14-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
15-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
15-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
15-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
15-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
15-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
15-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
15-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
15-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
15-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
15-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
15-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
15-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
15-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
15-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
15-03-2011,B. NHPC,,,,,,,,,
15-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
15-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
15-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
15-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
15-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
15-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
15-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
15-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
15-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
15-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
15-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
15-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
15-03-2011,E. BBMB,,,,,,,,,
15-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
15-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
15-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
15-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
15-03-2011,F. NPC,,,,,,,,,
15-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
15-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
15-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
15-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
15-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
15-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
15-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
16-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
16-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
16-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
16-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
16-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
16-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
16-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
16-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
16-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
16-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
16-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
16-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
16-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
16-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
16-03-2011,B. NHPC,,,,,,,,,
16-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
16-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
16-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
16-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
16-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
16-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
16-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
16-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
16-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
16-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
16-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
16-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
16-03-2011,E. BBMB,,,,,,,,,
16-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
16-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
16-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
16-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
16-03-2011,F. NPC,,,,,,,,,
16-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
16-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
16-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
16-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
16-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
16-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
16-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
17-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
17-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
17-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
17-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
17-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
17-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
17-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
17-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
17-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
17-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
17-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
17-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
17-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
17-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
17-03-2011,B. NHPC,,,,,,,,,
17-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
17-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
17-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
17-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
17-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
17-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
17-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
17-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
17-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
17-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
17-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
17-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
17-03-2011,E. BBMB,,,,,,,,,
17-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
17-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
17-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
17-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
17-03-2011,F. NPC,,,,,,,,,
17-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
17-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
17-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
17-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
17-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
17-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
17-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
18-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
18-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
18-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
18-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
18-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
18-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
18-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
18-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
18-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
18-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
18-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
18-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
18-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
18-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
18-03-2011,B. NHPC,,,,,,,,,
18-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
18-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
18-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
18-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
18-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
18-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
18-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
18-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
18-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
18-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
18-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
18-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
18-03-2011,E. BBMB,,,,,,,,,
18-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
18-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
18-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
18-03-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
18-03-2011,F. NPC,,,,,,,,,
18-03-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
18-03-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
18-03-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
18-03-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
18-03-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
18-03-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
18-03-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
19-03-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
19-03-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
19-03-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
19-03-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
19-03-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
19-03-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
19-03-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
19-03-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
19-03-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
19-03-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
19-03-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
19-03-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
19-03-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
19-03-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
19-03-2011,B. NHPC,,,,,,,,,
19-03-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
19-03-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
19-03-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
19-03-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
19-03-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
19-03-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
19-03-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
19-03-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
19-03-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
19-03-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
19-03-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
19-03-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
19-03-2011,E. BBMB,,,,,,,,,
19-03-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
19-03-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
19-03-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
